"screen","title","element","asset","sourceAsset","text","x","yTop","width","height","yScene2D","z","hitX","hitY","hitWidth","hitHeight","target"
"title","머지냥 디펜스","background-1","assets/placed/f13521a79c0180a52b.png","assets/backgrounds/workshop.png","","0","0","1080","1920","0","0","","","","",""
"title","머지냥 디펜스","text-3","assets/text/ba00237d11c8b1788a.png","","MERGE CAT DEFENSE","120","180","840","47","1693","1","","","","",""
"title","머지냥 디펜스","text-4","assets/text/d0513380d723365844.png","","머지냥 디펜스","89","249","900","126","1545","2","","","","",""
"title","머지냥 디펜스","subtitle-back-text-5","assets/placed/33da3a8f6b5b2c6695.png","assets/ui/panel-cream.png","","66","363","948","66","1491","3","","","","",""
"title","머지냥 디펜스","text-5","assets/text/8f8b8aa3e3c2239b81.png","","고양이가 만들고, 고양이가 지켜요","80","368","920","53","1499","4","","","","",""
"title","머지냥 디펜스","shadow-cat-smith-6","assets/placed/4239dea042bd080d53.png","assets/ui/ground-shadow.png","","351","1097","377","31","792","5","","","","",""
"title","머지냥 디펜스","cat-smith-6","assets/placed/f8b0cb569d229069b0.png","assets/characters/cat-smith.png","","285","604","510","510","806","6","","","","",""
"title","머지냥 디펜스","shadow-cat-warrior-7","assets/placed/446d03b3f6ff395646.png","assets/ui/ground-shadow.png","","88","1343","259","31","546","7","","","","",""
"title","머지냥 디펜스","cat-warrior-7","assets/placed/4e3e8eaf8530a12b9d.png","assets/characters/cat-warrior.png","","42","1010","350","350","560","8","","","","",""
"title","머지냥 디펜스","shadow-cat-tank-8","assets/placed/446d03b3f6ff395646.png","assets/ui/ground-shadow.png","","736","1343","259","31","546","9","","","","",""
"title","머지냥 디펜스","cat-tank-8","assets/placed/b6add6f126e791fe47.png","assets/characters/cat-tank.png","","690","1010","350","350","560","10","","","","",""
"title","머지냥 디펜스","button-9","assets/placed/f1f1d398f7498d511f.png","assets/ui/button-yellow-normal.png","","160","1500","760","120","300","11","160","1494","760","132","login"
"title","머지냥 디펜스","icon-paw-10","assets/placed/3eb50e025a30a9b03e.png","assets/icons/paw.png","","412","1523","56","56","341","12","","","","",""
"title","머지냥 디펜스","text-11","assets/text/fa79698efae2463c3f.png","","터치하여 시작","244","1527","662","48","345","13","","","","",""
"title","머지냥 디펜스","text-12","assets/text/50a3be35cf27a7399c.png","","© MERGE CAT • UI ASSET PACK","130","1784","820","38","98","14","","","","",""
"login","반가워요, 집사님","background-1","assets/placed/f13521a79c0180a52b.png","assets/backgrounds/workshop.png","","0","0","1080","1920","0","0","","","","",""
"login","반가워요, 집사님","resource-bar-3","assets/placed/67b2bb1183ebc40ed1.png","assets/ui/panel-cream.png","","30","28","1020","90","1802","1","","","","",""
"login","반가워요, 집사님","title-bar-4","assets/placed/21cf35d5dcee417b8d.png","assets/ui/panel-cream.png","","30","128","1020","104","1688","2","","","","",""
"login","반가워요, 집사님","icon-energy-5","assets/placed/9fa198e8f4245dbd0f.png","assets/icons/energy.png","","52","43","54","54","1823","3","","","","",""
"login","반가워요, 집사님","text-6","assets/text/4f65a133e0ebec885a.png","","40/50","113","50","195","47","1823","4","","","","",""
"login","반가워요, 집사님","icon-gold-7","assets/placed/0274a23a232ef47921.png","assets/icons/gold.png","","368","43","54","54","1823","5","","","","",""
"login","반가워요, 집사님","text-8","assets/text/ed149040bb71721e2c.png","","12,500","429","50","195","47","1823","6","","","","",""
"login","반가워요, 집사님","icon-gem-9","assets/placed/e238412bd856f270d9.png","assets/icons/gem.png","","684","43","54","54","1823","7","","","","",""
"login","반가워요, 집사님","text-10","assets/text/b710de3b8f0ad3e447.png","","320","745","50","195","47","1823","8","","","","",""
"login","반가워요, 집사님","button-11","assets/placed/a55e725f8d802af4a0.png","assets/ui/button-cream-normal.png","","38","138","76","76","1706","9","10","110","132","132","title"
"login","반가워요, 집사님","icon-back-12","assets/placed/dc05be2a4b9c6fda0c.png","assets/icons/back.png","","48","141","56","56","1723","10","","","","",""
"login","반가워요, 집사님","text-13","assets/text/04b02e5961972571b3.png","","반가워요, 집사님","138","143","742","65","1712","11","","","","",""
"login","반가워요, 집사님","button-14","assets/placed/a55e725f8d802af4a0.png","assets/ui/button-cream-normal.png","","958","138","76","76","1706","12","930","110","132","132","settings"
"login","반가워요, 집사님","icon-gear-15","assets/placed/71b09a6dc991d6f600.png","assets/icons/gear.png","","968","141","56","56","1723","13","","","","",""
"login","반가워요, 집사님","shadow-cat-smith-16","assets/placed/9281e188c6350ac762.png","assets/ui/ground-shadow.png","","385","683","311","31","1206","14","","","","",""
"login","반가워요, 집사님","cat-smith-16","assets/placed/136758c24e6a01dd77.png","assets/characters/cat-smith.png","","330","280","420","420","1220","15","","","","",""
"login","반가워요, 집사님","panel-17","assets/placed/3baa246fd0544b20fe.png","assets/ui/panel-cream.png","","64","735","952","868","317","16","","","","",""
"login","반가워요, 집사님","text-18","assets/text/a000b371154a21a4f7.png","","어떤 이름으로 불러드릴까요?","108","800","860","60","1060","17","","","","",""
"login","반가워요, 집사님","panel-19","assets/placed/5e0b1273117ba62845.png","assets/ui/panel-lavender.png","","108","890","864","112","918","18","","","","",""
"login","반가워요, 집사님","text-20","assets/text/78332d7740bf288d73.png","","머지집사","144","919","720","56","945","19","","","","",""
"login","반가워요, 집사님","text-21","assets/text/e73fc213fb60a33611.png","","2~10자 · 언제든 프로필에서 변경할 수 있어요","110","1032","870","38","850","20","","","","",""
"login","반가워요, 집사님","button-22","assets/placed/8c7d610737a27e665d.png","assets/ui/button-mint-normal.png","","108","1166","864","110","644","21","108","1155","864","132","workshop"
"login","반가워요, 집사님","text-23","assets/text/eaed94c57dcae524b3.png","","Google로 계속하기","125","1184","832","48","688","22","","","","",""
"login","반가워요, 집사님","button-24","assets/placed/96460184cd4457d493.png","assets/ui/button-yellow-normal.png","","108","1304","864","110","506","23","108","1293","864","132","tutorial"
"login","반가워요, 집사님","text-25","assets/text/f5fba239aae70ae4c9.png","","체험 전투 먼저 해보기","125","1326","832","48","546","24","","","","",""
"login","반가워요, 집사님","text-26","assets/text/30a580b4e151468c94.png","","이용약관 · 개인정보처리방침","111","1480","860","42","398","25","","","","",""
"workshop","냥이들의 대장간","background","assets/placed/f13521a79c0180a52b.png","assets/backgrounds/workshop.png","","0","0","1080","1920","0","0","","","","",""
"workshop","냥이들의 대장간","panel-cream-1","assets/placed/aeea6a9162ecca60be.png","assets/ui/panel-cream.png","","28","24","332","84","1812","1","","","","",""
"workshop","냥이들의 대장간","energy-2","assets/placed/9fa198e8f4245dbd0f.png","assets/icons/energy.png","","45","39","54","54","1827","2","","","","",""
"workshop","냥이들의 대장간","label-3","assets/text/fcf0369b63d5e3ae8c.png","","40/50","113","41","225","48","1831","3","","","","",""
"workshop","냥이들의 대장간","panel-cream-4","assets/placed/aeea6a9162ecca60be.png","assets/ui/panel-cream.png","","374","24","332","84","1812","4","","","","",""
"workshop","냥이들의 대장간","gold-5","assets/placed/0274a23a232ef47921.png","assets/icons/gold.png","","391","39","54","54","1827","5","","","","",""
"workshop","냥이들의 대장간","label-6","assets/text/2aaefa170c707ca330.png","","12,500","459","41","225","48","1831","6","","","","",""
"workshop","냥이들의 대장간","panel-cream-7","assets/placed/aeea6a9162ecca60be.png","assets/ui/panel-cream.png","","720","24","332","84","1812","7","","","","",""
"workshop","냥이들의 대장간","gem-8","assets/placed/e238412bd856f270d9.png","assets/icons/gem.png","","737","39","54","54","1827","8","","","","",""
"workshop","냥이들의 대장간","label-9","assets/text/04bf6b0176ade687be.png","","320","805","41","225","48","1831","9","","","","",""
"workshop","냥이들의 대장간","title-banner-10","assets/placed/c7e44287f5565b282a.png","assets/ui/title-banner.png","","150","123","780","135","1662","10","","","","",""
"workshop","냥이들의 대장간","label-11","assets/text/52481f718270435da7.png","","냥이들의 대장간","182","157","714","72","1691","11","","","","",""
"workshop","냥이들의 대장간","button-cream-normal-12","assets/placed/54145a8c7dc277b074.png","assets/ui/button-cream-normal.png","","28","140","92","92","1688","12","28","140","92","92","modes"
"workshop","냥이들의 대장간","back-13","assets/placed/684b7bc9151e735643.png","assets/icons/back.png","","47","152","54","54","1714","13","","","","",""
"workshop","냥이들의 대장간","button-cream-normal-14","assets/placed/54145a8c7dc277b074.png","assets/ui/button-cream-normal.png","","960","140","92","92","1688","14","960","140","92","92","settings"
"workshop","냥이들의 대장간","gear-15","assets/placed/df1483c483c132da85.png","assets/icons/gear.png","","979","151","54","54","1715","15","","","","",""
"workshop","냥이들의 대장간","panel-cream-16","assets/placed/01ac4c2ebc83c43078.png","assets/ui/panel-cream.png","","18","1746","1044","157","17","16","","","","",""
"workshop","냥이들의 대장간","panel-mint-17","assets/placed/781a57819a38fb1e94.png","assets/ui/panel-mint.png","","33","1755","198","139","26","17","","","","",""
"workshop","냥이들의 대장간","forge-18","assets/placed/bab1d6a5f417a1bb97.png","assets/icons/forge.png","","98","1767","70","70","83","18","","","","",""
"workshop","냥이들의 대장간","label-19","assets/text/38a971f1dc000a8df5.png","","대장간","41","1803","182","47","70","19","","","","",""
"workshop","냥이들의 대장간","nav-workshop","","","","33","1754","198","140","26","20","33","1754","198","140","workshop"
"workshop","냥이들의 대장간","cat-21","assets/placed/164bb5461c096b7f70.png","assets/icons/cat.png","","301","1767","70","70","83","21","","","","",""
"workshop","냥이들의 대장간","label-22","assets/text/7536732c62c51e71e3.png","","고양이","450","1803","182","47","70","22","","","","",""
"workshop","냥이들의 대장간","nav-cats","","","","237","1754","198","140","26","23","237","1754","198","140","cats"
"workshop","냥이들의 대장간","sword-24","assets/placed/efffa4b7a4db7016a9.png","assets/icons/sword.png","","505","1767","70","70","83","24","","","","",""
"workshop","냥이들의 대장간","label-25","assets/text/36750979eee5d3d31f.png","","전투","449","1803","182","47","70","25","","","","",""
"workshop","냥이들의 대장간","nav-modes","","","","441","1754","198","140","26","26","441","1754","198","140","modes"
"workshop","냥이들의 대장간","shop-27","assets/placed/08eaabb2f272930ef7.png","assets/icons/shop.png","","710","1767","70","70","83","27","","","","",""
"workshop","냥이들의 대장간","label-28","assets/text/1ceb9aa500e58ff2c1.png","","상점","450","1803","182","47","70","28","","","","",""
"workshop","냥이들의 대장간","nav-shop","","","","645","1754","198","140","26","29","645","1754","198","140","shop"
"workshop","냥이들의 대장간","trophy-30","assets/placed/1d1c0284cd20ff4bd8.png","assets/icons/trophy.png","","914","1767","70","70","83","30","","","","",""
"workshop","냥이들의 대장간","label-31","assets/text/585230f47c36d6fa4b.png","","랭킹","450","1803","182","47","70","31","","","","",""
"workshop","냥이들의 대장간","nav-ranking","","","","849","1754","198","140","26","32","849","1754","198","140","ranking"
"workshop","냥이들의 대장간","subtitle-back-label-33","assets/placed/107472c4981890ff99.png","assets/ui/panel-cream.png","","96","272","828","63","1585","33","","","","",""
"workshop","냥이들의 대장간","label-33","assets/text/068d0e89892b87f6a3.png","","작은 발로 만드는 커다란 모험","112","280","800","50","1590","34","","","","",""
"workshop","냥이들의 대장간","shadow-cat-smith-34","assets/placed/eacbc56f9daf0a7ed9.png","assets/ui/ground-shadow.png","","376","908","318","31","981","35","","","","",""
"workshop","냥이들의 대장간","cat-smith-34","assets/placed/fbc5425c2835881551.png","assets/characters/cat-smith.png","","320","445","430","480","995","36","","","","",""
"workshop","냥이들의 대장간","shadow-cat-warrior-35","assets/placed/19dc4d470b32ec7ffd.png","assets/ui/ground-shadow.png","","99","908","196","31","981","37","","","","",""
